"area","epiweek","alpha_Rt","background_Rt","generation_time","alpha_cases_corrected","background_cases_corrected","alpha_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","stringency","gov_response","containment_health","economic_support"
"Cambridgeshire and Peterborough",54,0.79,0.67,"original",333.403004198802,61.5969958011975,0.844058238477981,1.33650024660996,88.4528111049107,0.00371096649074129,12167.7541852679,1.49668800304426e-05,231.990753173828,969845,85.9757142857143,82.5457142857143,80.0542857142857,100
"Cambridgeshire and Peterborough",55,0.86,0.66,"original",355.722051881871,105.277948118129,0.771631348984535,3.00186802659716,86.0714372907366,0.00411857907394213,8905.49731445312,0.000247394585642269,231.990753173828,969845,87.96,83.96,81.67,100
"Cheshire and Merseyside",45,1.58,0.97,"original",4.77836167079874,5199.2216383292,0.000918209391006677,7.954199722835,85.7683530535017,0.00574905831100685,18708.1686662946,7.71408800842112e-05,1011.20953369141,2496557,72.62,71.5785714285714,67.5171428571429,100
"Cheshire and Merseyside",46,0.92,0.5,"original",13.6856615031417,4526.31433849686,0.00301446288615457,10.6148906435285,86.6370707920619,0.00680228974670172,13020.0310407366,0.000141428444944073,1011.20953369141,2496557,77.78,74.48,70.83,100
"Cheshire and Merseyside",47,1.34,0.68,"original",15.9741053673375,2971.02589463266,0.00534787591809088,9.2872416632516,82.3710948399135,0.00612944071846349,8960.35379464286,9.56881292170562e-05,1011.20953369141,2496557,75.3971428571429,73.1428571428571,69.3042857142857,100
"Cheshire and Merseyside",48,1.73,0.79,"original",16.9129808618301,1931.08701913817,0.00868222836849597,7.2065532548087,87.5177950177874,0.00556195500705923,9461.20082310268,6.05066221055495e-05,1011.20953369141,2496557,75,72.92,69.05,100
"Cheshire and Merseyside",49,3.08,1.25,"original",25.3846863914355,1658.61531360856,0.0150740418001399,5.59226431165423,89.7016427176339,0.0048562509140798,7273.75404575893,0.000159591532646378,1011.20953369141,2496557,70.7657142857143,68.7514285714286,64.2842857142857,100
"Cheshire and Merseyside",50,3.5,1.34,"original",113.852065165425,1815.14793483458,0.0590212883180013,6.89075108936855,91.5923527308873,0.00535495592547314,6047.58011300223,0.000182738189713356,1011.20953369141,2496557,67.59,69.8842857142857,65.5771428571429,100
"Cheshire and Merseyside",51,2.05,0.89,"original",459.861769710681,2361.13823028932,0.163013743250862,9.00051021575928,85.915901184082,0.00592046656778881,8017.16067940848,0.000142322140033814,1011.20953369141,2496557,68.65,71.0142857142857,66.87,100
"Cheshire and Merseyside",52,3.9,2.28,"original",1225.34421255517,2220.65578744483,0.355584507415893,5.32477857385363,85.7405755179269,0.00470222629207586,8091.98458426339,0.000276908413265379,1011.20953369141,2496557,72.6857142857143,73.28,69.4642857142857,100
"Cheshire and Merseyside",53,1.26,0.87,"original",5470.88984352843,5201.11015647157,0.512639603029276,2.31675016880035,90.4719881330218,0.00378430538278605,10091.0720563616,3.47620874500925e-05,1011.20953369141,2496557,74.07,74.06,70.36,100
"Cheshire and Merseyside",54,0.85,0.49,"original",9931.48025050365,6661.51974949635,0.59853433679887,1.16547799961908,89.8672507149833,0.00372068440940763,9991.40032087054,5.72984360230423e-05,1011.20953369141,2496557,85.9757142857143,82.5457142857143,80.0542857142857,100
"Cheshire and Merseyside",55,0.77,0.43,"original",9524.53038134024,4315.46961865976,0.688188611368514,3.68219804763794,89.4270488194057,0.0044699869384723,8188.91186523438,0.000334556469429767,1011.20953369141,2496557,87.96,83.96,81.67,100
"Cornwall and the Isles of Scilly",45,1.65,1.12,"original",0.888400867893159,78.1115991321068,0.0112455806062425,10.0166348048619,82.4068385532924,0.00646254639806492,26386.59765625,0.00013072670833176,162.641036987305,571802,72.62,71.5785714285714,67.5171428571429,100
